IMP,Year,Shipping_From,Ship_via,Customer,FLT#/Vessle#,Original_Need_Date,CEB_authorized_date,Forwarder,Gross_weight(kg),Pickup_day,ETD_port,ETA_Santos_or_VCP,Sailing_TAT,DI_register_date,Customs_clearance_date,Clearance_TAT,KPI_expect_arrive_CEB_date,FIRM_ARRIVAL_on_CEB,CEB_LGC_estimated_receiving_date,Door_to_Door_TAT,International_Transportation_Cost_(USD),Channel
BSP1900024,2019,MIA,Air,A31,ATLAS,,43709,EI,17,43678,43678,43709,1,43739,43739,1,43678,43739,01/14/19,2,720.63,Green
IMP1900026,2019,CQ,Sea,ABO,LIBRA,,43709,Asia Shipping,12764.73,01/15/19,01/20/19,02/21/19,37,02/22/19,02/22/19,4,43772,02/25/19,02/27/19,41,3585,Green
IMP1900027,2019,CQ,Sea,ABO,LIBRA,,43709,Asia Shipping,14830.76,01/15/19,01/20/19,02/21/19,37,02/22/19,02/22/19,4,43772,02/25/19,02/27/19,41,3585,Green
BSP1900022,2019,MIA,Air,A31,ATLAS,,43678,EI,22,43647,43647,43678,1,43709,43709,1,43647,43709,43770,2,695.63,Green
BSP1900021,2019,MIA,Air,A31,ATLAS,,43678,EI,27.5,43647,43647,43678,1,43709,43709,1,43647,43709,43770,2,820.63,Green
BSP1900020,2019,MALAYSIA,Air,ABO,FEDEX,,43678,FEDEX,17.3,43678,43678,43739,2,43739,43739,0,43678,43739,01/14/19,2,237.11,Green
BSP1900019,2019,VIETNAM,Air,ABO,FEDEX,,43678,FEDEX,82.7,43678,43678,43739,2,43770,43770,1,43678,43770,01/14/19,3,647.4,Green
BSP1900015,2019,CTU,Air,ABO,FEDEX,,43647,FEDEX,9.37,43647,43647,43739,3,43770,43770,1,43647,43770,01/14/19,4,184.4,Green
BSP1900016,2019,CKG,Air,ABO,LUFTHANSA,,43647,CEVA,28.5,43709,43709,01/13/19,4,01/14/19,01/14/19,1,43709,01/14/19,01/14/19,5,432.6,Green
BSP1900014,2019,CTU,Air,ABO,FEDEX,,43647,Agility,6.77,43647,43647,43739,3,43770,43770,1,43647,43770,01/14/19,4,116.11,Green
BSP1900012,2019,SHA,Sea,ABO,SANTOS EXPRESS,,43556,Weida,8717.6,43678,01/15/19,02/17/19,40,02/18/19,02/18/19,4,43558,02/21/19,02/22/19,44,1270,Green
IMP1900013,2019,CD,Air,A31_Wistron,KLM,,43556,Weida,16,43678,43739,01/15/19,7,01/16/19,01/16/19,1,43678,01/16/19,01/16/19,8,540,Green
IMP1900018,2019,KS,Air,A31,ATLAS,,43647,DHL,17,43709,01/15/19,01/16/19,7,01/17/19,01/17/19,1,43709,01/17/19,01/17/19,8,581.06,Green
IMP1801041,2018,KS,Air,A31,KLM,,43647,Weida,30,43678,43739,43800,4,01/14/19,01/14/19,2,43678,01/14/19,01/14/19,6,729.81,Green
BSP1900011,2019,MALAYSIA,Air,ABO,FEDEX,,43556,FEDEX,7.18,43525,43525,43647,4,43647,43647,1,43525,43678,43739,5,122.02,Green
BSP1900010,2019,MALAYSIA,Air,ABO,FEDEX,,43556,FEDEX,9.77,43497,43525,43647,5,43647,43647,1,43497,43678,43739,6,126.34,Green
BSP1900007,2019,VIETNAM,Air,ABO,FEDEX,,43525,FEDEX,,43497,43497,43556,2,43647,43647,3,43497,43647,43678,5,346.86,Green
BSP1801044,2018,CQ,Air,ABO,LUFTHANSA,,43497,CEVA,25,43525,43556,43586,2,43647,43647,2,43525,43647,43647,4,470.29,Green
BSP1900001,2019,MIA,Air,A31,ATLAS,,43497,EI,34,43466,12/28/18,43497,1,43525,43525,1,43466,43525,43556,2,695.63,Green
BSP1900002,2019,MI,Air,A31,ATLAS,,43497,EI,31.5,43466,12/28/18,43497,1,43525,43525,1,43466,43525,43556,2,695.63,Green
BSP1900003,2019,MIA,Air,A31,ATLAS,,43497,EI,39.5,43466,12/31/18,43497,1,43525,43525,1,43466,43525,43556,2,770.63,Green
BSP1900005,2019,MIA,Air,A31,ATLAS,,43497,EI,25.5,43466,12/31/18,43497,1,43525,43525,1,43466,43525,43556,2,770.63,Green
BSP1900004,2019,MIA,Air,A31,ATLAS,,43497,EI,40,43466,12/28/18,43497,1,43525,43525,1,43466,43525,43556,2,770.63,Green
BSP1900006,2019,MEM,Air,ABO,KLM,,43497,FEDEX,9.26,43497,43525,43647,5,43647,43647,1,43497,43678,43739,6,184.4,Green
IMP1801026,2018,KS,Air,A31_TURIS,SWITZERLAND,,12/26/18,DHL,2889,01/28/19,43617,43679,11,43771,43771,5,03/24/19,02/13/19,02/15/19,16,5056.62,Green
BSP1801032,2018,MEM,Air,ABO,FEDEX,,12/26/18,FEDEX,102.22,12/21/18,12/24/18,12/27/18,6,12/28/18,12/28/18,1,12/21/18,12/28/18,12/28/18,7,991.89,Green
BSP1801031,2018,MEM,Air,ABO,FEDEX,,12/26/18,FEDEX,41.76,12/21/18,12/24/18,12/27/18,6,12/28/18,12/28/18,1,12/21/18,12/28/18,12/28/18,7,431.14,Green
BSP1801030,2018,MEM,Air,ABO,FEDEX,,12/26/18,FEDEX,46.44,12/21/18,12/24/18,12/27/18,6,12/28/18,12/28/18,1,12/21/18,12/28/18,12/28/18,7,450.43,Green
BSP1801029,2018,MEM,Air,ABO,FEDEX,,12/26/18,FEDEX,43.46,12/21/18,12/24/18,12/27/18,6,12/28/18,12/28/18,1,12/21/18,12/28/18,12/28/18,7,431.14,Green
BSP1801028,2018,MEM,Air,ABO,FEDEX,,12/26/18,FEDEX,78.94,12/21/18,12/24/18,12/27/18,6,12/28/18,12/28/18,1,12/21/18,12/28/18,12/28/18,7,763.14,Green
BSP1801023,2018,MIA,Air,A31,ATLAS,,12/26/18,EI,35,12/25/18,12/26/18,12/26/18,1,12/27/18,12/27/18,8,12/25/18,43525,12/27/18,9,980.63,Green
BSP1801022,2018,MIA,Air,A31,ATLAS,,12/26/18,EI,36,12/25/18,12/26/18,12/26/18,1,12/27/18,12/27/18,1,12/25/18,12/27/18,12/27/18,2,795.63,Green
